not enough args for isData
19-Oct-2021 12:05:38 CDT  Initiating request to open file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
19-Oct-2021 12:05:39 CDT  Successfully opened file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
*** Quark with (eta,phi,pt) = -35.1511,	-3.14159,	8.29148e-15
    HCAL (ieta,iphi) = -404.536,	-35.6103
    ECAL (ieta,iphi) = -2009.14,	-169.02
*** Quark with (eta,phi,pt) = 2.32606,	-1.15208,	0.770922
    HCAL (ieta,iphi) = 27.2363,	-12.7423
    ECAL (ieta,iphi) = 133.418,	-55.3332
*** Quark with (eta,phi,pt) = -36.6652,	-0.00706277,	3.1439e-14
    HCAL (ieta,iphi) = -421.94,	0.418819
    ECAL (ieta,iphi) = -2095.66,	10.0964
*** Quark with (eta,phi,pt) = 22756,	0,	0
    HCAL (ieta,iphi) = 261564,	0.5
    ECAL (ieta,iphi) = 1.30034e+06,	10.5
*** Quark with (eta,phi,pt) = -6.29002,	-1.70976,	0.224719
    HCAL (ieta,iphi) = -72.7991,	-19.1525
    ECAL (ieta,iphi) = -359.93,	-87.2008
*** Quark with (eta,phi,pt) = -6.03907,	-0.865888,	1.802
    HCAL (ieta,iphi) = -69.9146,	-9.45273
    ECAL (ieta,iphi) = -345.59,	-38.9793
*** Quark with (eta,phi,pt) = 0.773611,	1.5273,	77.3332
    HCAL (ieta,iphi) = 9.39208,	18.0552
    ECAL (ieta,iphi) = 44.7063,	97.7744
*** Quark with (eta,phi,pt) = 2.1675,	1.10781,	4.03935
    HCAL (ieta,iphi) = 25.4138,	13.2334
    ECAL (ieta,iphi) = 124.357,	73.8034
*** Quark with (eta,phi,pt) = 1.54126,	0.194065,	2.55938
    HCAL (ieta,iphi) = 18.2156,	2.73063
    ECAL (ieta,iphi) = 88.572,	21.5894
*** Quark with (eta,phi,pt) = -5.65102,	2.40583,	0.926365
    HCAL (ieta,iphi) = -65.4543,	28.1532
    ECAL (ieta,iphi) = -323.415,	147.976
*** Quark with (eta,phi,pt) = -4.27519,	-1.89226,	1.14486
    HCAL (ieta,iphi) = -49.6401,	-21.2501
    ECAL (ieta,iphi) = -244.796,	-97.6291
*** Quark with (eta,phi,pt) = -2.5661,	-0.69046,	1.17501
    HCAL (ieta,iphi) = -29.9954,	-7.43632
    ECAL (ieta,iphi) = -147.134,	-28.9548
*** Quark with (eta,phi,pt) = 2.42146,	0.0788385,	2.09339
    HCAL (ieta,iphi) = 28.3328,	1.40619
    ECAL (ieta,iphi) = 138.869,	15.0051
*** Quark with (eta,phi,pt) = -2.09117,	1.18769,	0.910707
    HCAL (ieta,iphi) = -24.5365,	14.1516
    ECAL (ieta,iphi) = -119.996,	78.3679
*** Quark with (eta,phi,pt) = 2.30461,	-1.09902,	0.799022
    HCAL (ieta,iphi) = 26.9897,	-12.1324
    ECAL (ieta,iphi) = 132.192,	-52.3011
*** Quark with (eta,phi,pt) = -3.8163,	1.46046,	0.0676033
    HCAL (ieta,iphi) = -44.3655,	17.2869
    ECAL (ieta,iphi) = -218.574,	93.955
*** Quark with (eta,phi,pt) = -6.52564,	-1.77964,	0.15245
    HCAL (ieta,iphi) = -75.5073,	-19.9556
    ECAL (ieta,iphi) = -373.394,	-91.1935
*** Quark with (eta,phi,pt) = 5.34378,	-1.37745,	0.545723
    HCAL (ieta,iphi) = 61.9227,	-15.3328
    ECAL (ieta,iphi) = 305.859,	-68.2116
*** Quark with (eta,phi,pt) = 2.06607,	1.78868,	0.369154
    HCAL (ieta,iphi) = 24.2479,	21.0595
    ECAL (ieta,iphi) = 118.561,	112.71
*** Quark with (eta,phi,pt) = -9.88676,	-2.70462,	0.173901
    HCAL (ieta,iphi) = -114.141,	-30.5876
    ECAL (ieta,iphi) = -565.458,	-144.05
*** Quark with (eta,phi,pt) = -7.0001,	-3.12046,	0.791606
    HCAL (ieta,iphi) = -80.9609,	-35.3673
    ECAL (ieta,iphi) = -400.506,	-167.812
*** Quark with (eta,phi,pt) = 0.325061,	2.69487,	106.727
    HCAL (ieta,iphi) = 4.23634,	31.4756
    ECAL (ieta,iphi) = 19.0749,	164.493
*** Quark with (eta,phi,pt) = -0.113522,	-3.11136,	142.365
    HCAL (ieta,iphi) = -1.80485,	-35.2628
    ECAL (ieta,iphi) = -6.98695,	-167.292
*** Quark with (eta,phi,pt) = -0.100983,	-3.12049,	142.895
    HCAL (ieta,iphi) = -1.66072,	-35.3677
    ECAL (ieta,iphi) = -6.27046,	-167.814
*** Quark with (eta,phi,pt) = 0.325056,	2.69488,	104.819
    HCAL (ieta,iphi) = 4.23628,	31.4756
    ECAL (ieta,iphi) = 19.0746,	164.493
*** Quark with (eta,phi,pt) = 0.302074,	2.68796,	60.6419
    HCAL (ieta,iphi) = 3.97212,	31.3961
    ECAL (ieta,iphi) = 17.7614,	164.098
*** Quark with (eta,phi,pt) = -0.100983,	-3.12049,	131.939
    HCAL (ieta,iphi) = -1.66073,	-35.3677
    ECAL (ieta,iphi) = -6.27046,	-167.814
*** Quark with (eta,phi,pt) = -0.100979,	-3.12049,	92.1968
    HCAL (ieta,iphi) = -1.66068,	-35.3677
    ECAL (ieta,iphi) = -6.27021,	-167.814
*** ELECTRON with (eta,phi,pt) = 0.49868,	1.06322,	67.4626
    ECAL (ieta,iphi) = 28.996,	71.2553
*** MUON with (eta,phi,pt) = 0.203431,	-1.33124,	131.233
    ECAL (ieta,iphi) = 12.1246,	-65.5711
*** MUON with (eta,phi,pt) = 0.203431,	-1.33124,	131.233
    ECAL (ieta,iphi) = 12.1246,	-65.5711
*** Quark with (eta,phi,pt) = 0.304535,	2.68753,	82.5633
    HCAL (ieta,iphi) = 4.0004,	31.3912
    ECAL (ieta,iphi) = 17.902,	164.073
*** Quark with (eta,phi,pt) = 1.54709,	0.19758,	3.15637
    HCAL (ieta,iphi) = 18.2826,	2.77103
    ECAL (ieta,iphi) = 88.9052,	21.7903
*** Quark with (eta,phi,pt) = -9.88676,	-2.70462,	0.173901
    HCAL (ieta,iphi) = -114.141,	-30.5876
    ECAL (ieta,iphi) = -565.458,	-144.05
*** Quark with (eta,phi,pt) = -4.27519,	-1.89226,	1.14486
    HCAL (ieta,iphi) = -49.6401,	-21.2501
    ECAL (ieta,iphi) = -244.796,	-97.6291
*** Quark with (eta,phi,pt) = -7.0001,	-3.12046,	0.791606
    HCAL (ieta,iphi) = -80.9609,	-35.3673
    ECAL (ieta,iphi) = -400.506,	-167.812
*** Quark with (eta,phi,pt) = 2.30461,	-1.09902,	0.799022
    HCAL (ieta,iphi) = 26.9897,	-12.1324
    ECAL (ieta,iphi) = 132.192,	-52.3011
*** Quark with (eta,phi,pt) = 1.54709,	0.19758,	3.15637
    HCAL (ieta,iphi) = 18.2826,	2.77103
    ECAL (ieta,iphi) = 88.9052,	21.7903
*** Quark with (eta,phi,pt) = 2.06607,	1.78868,	0.369154
    HCAL (ieta,iphi) = 24.2479,	21.0595
    ECAL (ieta,iphi) = 118.561,	112.71
*** Quark with (eta,phi,pt) = 2.1675,	1.10781,	4.03935
    HCAL (ieta,iphi) = 25.4138,	13.2334
    ECAL (ieta,iphi) = 124.357,	73.8034
*** Quark with (eta,phi,pt) = 0.773611,	1.5273,	77.3332
    HCAL (ieta,iphi) = 9.39208,	18.0552
    ECAL (ieta,iphi) = 44.7063,	97.7744
*** Quark with (eta,phi,pt) = -2.09117,	1.18769,	0.910707
    HCAL (ieta,iphi) = -24.5365,	14.1516
    ECAL (ieta,iphi) = -119.996,	78.3679
*** Quark with (eta,phi,pt) = 2.42146,	0.0788385,	2.09339
    HCAL (ieta,iphi) = 28.3328,	1.40619
    ECAL (ieta,iphi) = 138.869,	15.0051
*** Quark with (eta,phi,pt) = 0.304535,	2.68753,	82.5633
    HCAL (ieta,iphi) = 4.0004,	31.3912
    ECAL (ieta,iphi) = 17.902,	164.073
*** Quark with (eta,phi,pt) = -0.100979,	-3.12049,	92.1968
    HCAL (ieta,iphi) = -1.66068,	-35.3677
    ECAL (ieta,iphi) = -6.27021,	-167.814
*** Quark with (eta,phi,pt) = 5.34378,	-1.37745,	0.545723
    HCAL (ieta,iphi) = 61.9227,	-15.3328
    ECAL (ieta,iphi) = 305.859,	-68.2116
*** Quark with (eta,phi,pt) = -6.52564,	-1.77964,	0.15245
    HCAL (ieta,iphi) = -75.5073,	-19.9556
    ECAL (ieta,iphi) = -373.394,	-91.1935
-----------------------------------------


1
2
3
4
5
6
7
-----------------------------------------
----- MUON -----
Inner track (eta,phi,pt) = -0.133449,	-3.06117,	3.997
Onner track (eta,phi,pt) = -0.0865609,	-3.11846,	4.62396
1
2
3
4
